6.08,24,153.5
7.43,25,287.2
5.45,25,331.3
3.65,23,144.8
3.62,25,142.4
4.06,25,185.1
4.39,25,597.3
6,26,189.5
10.37,27,241.3
17.04,27,345.3
95.18,259,203.7
94.63,249,193.4
89.92,272,7141.9
88.89,237,171.7
81.91,256,206.5
52.37,257,355.8
41.45,241,237.3
40.71,251,238
4.21,26,166.1
5.94,28,1068.7
3.56,24,143.5
3.71,25,145.9
3.74,25,185.9
4.39,25,511.7
6.33,27,672.1
2.63,17,70.2
2.3,17,54.4
2.58,17,67
2.28,15,53.9
2.27,16,60.9
2.96,16,56.7
2.48,18,58.9
2.58,16,55.1
2.44,17,62.2
3,17,55.3
3.07,16,57.9
2.72,17,57
2.24,15,61.9
2.12,16,50.4
2.29,16,61.2
2.46,16,54.5
2.68,16,61.3
2.54,16,53.3
2.72,17,69.9
2.41,16,53.4
2.51,16,56.9
2.32,18,57.5
16.09,16,58.2
15.46,15,56.8
12.65,17,223.7
4.48,16,56.9
3.35,16,60.1
2.24,17,56.4
1.69,16,51.8
1.52,16,46.4
3.04,17,61.7
2.22,15,52
2.77,16,55.7
3.14,17,55.8
2.42,16,55.4
2.86,15,51.7
2.51,17,73.2
2.54,16,50
2.5,16,55.9
2.64,17,57.6
3.01,15,60
2.93,16,53.8
3.18,16,64
3,17,60.5
2.86,17,59.6
2.56,16,55.9
2.99,17,58.1
3.05,15,49.5
3.77,24,175.7
3.14,18,109.1
3.03,16,60.2
3.08,17,63
2.8,17,56.6
3.18,17,66.5
15.34,16,96.4
13.35,17,111
13.07,16,103.9
13.44,17,104.7
13.66,15,110.9
14.07,16,104.5
13.6,15,97.6
12.65,16,100.5
3.66,24,510.1
13.71,15,107.2
14.82,16,104
13.59,15,100.3
14.55,17,104.2
14.32,15,99.6
13.73,15,104.1
13.05,16,101.6
13.15,17,106.6
13.33,17,99
13.5,16,99.4
13.36,15,93.5
13.21,16,105.2
14.62,16,103.6
13.38,16,97.2
11.86,15,92.5
12.21,18,96.5
13.29,15,88.9
13.05,16,93.3
14.4,16,94.7
13.71,16,95.1
13.54,16,93.2
13.53,17,100.4
13.32,15,86.8
13.34,15,99.4
13.13,15,93.8
13.54,16,90.2
13.94,16,92
12.3,17,93.7
13.15,15,92.3
12.52,17,99.3
13.34,14,90.6
13.12,16,97.2
